,question_number,response_id,filename
0,1,1,docusign.txt
1,2,1,docusign.txt
2,3,1,docusign.txt
3,4,0,docusign.txt
4,5,840,docusign.txt
5,6,0,docusign.txt
6,7,0,docusign.txt
7,8,1,docusign.txt
8,9,840,docusign.txt
9,10,0,docusign.txt
10,11,840,docusign.txt
11,12,0,docusign.txt
12,13,0,docusign.txt
13,14,1,docusign.txt
14,15,1,docusign.txt
15,16,1,docusign.txt
16,17,0,docusign.txt
17,18,0,docusign.txt
18,19,0,docusign.txt
19,20,0,docusign.txt
20,21,1,docusign.txt
21,22,1,docusign.txt
22,23,1,hotjar.txt
23,24,1,hotjar.txt
24,25,1,hotjar.txt
25,26,0,hotjar.txt
26,27,840,hotjar.txt
27,28,0,hotjar.txt
28,29,0,hotjar.txt
29,30,1,hotjar.txt
30,31,470,hotjar.txt
31,32,0,hotjar.txt
32,33,470,hotjar.txt
33,34,0,hotjar.txt
34,35,0,hotjar.txt
35,36,1,hotjar.txt
36,37,1,hotjar.txt
37,38,1,hotjar.txt
38,39,1,hotjar.txt
39,40,372,hotjar.txt
40,41,840,hotjar.txt
41,42,0,hotjar.txt
42,43,1,hotjar.txt
43,44,1,hotjar.txt
44,45,1,i advize.txt
45,46,0,i advize.txt
46,47,0,i advize.txt
47,48,1,i advize.txt
48,49,0,i advize.txt
49,50,0,i advize.txt
50,51,0,i advize.txt
51,52,1,i advize.txt
52,53,250,i advize.txt
53,54,0,i advize.txt
54,55,250,i advize.txt
55,56,0,i advize.txt
56,57,1,i advize.txt
57,58,1,i advize.txt
58,59,1,i advize.txt
59,60,1,i advize.txt
60,61,1,i advize.txt
61,62,246,i advize.txt
62,63,250,i advize.txt
63,64,276,i advize.txt
64,65,1,i advize.txt
65,66,2,i advize.txt
66,67,1,mailjet.txt
67,68,1,mailjet.txt
68,69,1,mailjet.txt
69,70,0,mailjet.txt
70,71,0,mailjet.txt
71,72,0,mailjet.txt
72,73,0,mailjet.txt
73,74,1,mailjet.txt
74,75,840,mailjet.txt
75,76,0,mailjet.txt
76,77,840,mailjet.txt
77,78,0,mailjet.txt
78,79,1,mailjet.txt
